"","x"
"1042","Kingston Financial"
"1043","Kitchen Inc"
"1044","Kodak"
"1045","Kohl's"
"1046","Kohl's Corp."
"1047","Koss Olinger Financial Group"
"1048","Kotter International"
"1049","Kowalski"
"1050","KPMG"
"1051","Kraft Foods Group"
"1052","Krispy Kreme"
"1053","Kroger Co"
"1054","KTR Capital Partners"
"1055","Kynikos Associates"
"1056","Kynikos Investments"
"1057","Kyte Group"
"1058","Labor Market Co"
"1059","Laboratory Skin Care"
"1060","Lance Corp"
"1061","Landry"
"1062","Langlois"
"1063","Las Vegas Sands"
"1064","Lauren Corporation"
"1065","Laurent Potdevin"
"1066","Lazzerbee"
"1067","Lear Corp"
"1068","Ledbury"
"1069","LeFrak"
"1070","Lehman"
"1071","Lehman Brothers"
"1072","Lehman Brothers Holdings"
"1073","Lennar"
"1074","Lennar Corp"
"1075","Lennar Corporation"
"1076","Lenovo Group Ltd"
"1077","Leon Co"
"1078","Library Of Co"
"1079","Life Inc"
"1080","Lifetime Brands Inc"
"1081","Lincoln Financial Group"
"1082","LinkedIn"
"1083","LinkUp"
"1084","Lion Air"
"1085","Lipper Inc"
"1086","Little Rock Co"
"1087","Livevol"
"1088","Lloyds Banking Group"
"1089","Loan Mortgage Corporation"
"1090","Lockerz"
"1091","Lockheed Martin"
"1092","Lockheed Martin Corp"
"1093","Loews Corp"
"1094","Loews Corporation"
"1095","Londons High Co"
"1096","Longboard Asset Management"
"1097","Lorillard"
"1098","Lorillard Tobacco"
"1099","Los Angeles Co"
"1100","Lucent"
"1101","Lufthansa Group"
"1102","LULAC"
"1103","Lululemon"
"1104","Lululemon Athletica"
"1105","Luma Partners"
"1106","Lung Biotechnology Inc"
"1107","Luvo"
"1108","Luxembourg Inc"
"1109","Luxottica"
"1110","Lyft"
"1111","M Corporation"
"1112","Macy"
"1113","Macy's"
"1114","Macys Inc"
"1115","Management Corporation"
"1116","Mandiant"
"1117","Manhattan"
"1118","Manhattan Federal Co"
"1119","Manpower"
"1120","Manpower Group"
"1121","Marathon Oil"
"1122","Marathon Oil Corp"
"1123","Maria Co"
"1124","Marilyn Monrobot"
"1125","Marine Corp"
"1126","Marine Insurance Co Ltd"
"1127","Market Action Advisors"
"1128","Market Advisors LLC"
"1129","Marquis Jet"
"1130","Marriott International Inc"
"1131","Mars Corp"
"1132","Marshall Wace"
"1133","Mart Corp"
"1134","Mart Corporation"
"1135","Mart Stores Inc"
"1136","Martin Corporation"
"1137","Mastercard"
"1138","Mathew Martoma Co"
"1139","Matrix Inc"
"1140","Mattel"
"1141","Mauldin Economics LLC"
"1142","Max Inc"
"1143","Maxis Communications Bhd"
"1144","MBA Exchange"
"1145","MBT Financial Corp"
"1146","McAfee"
"1147","McCabe Research and Consulting"
"1148","McCabe Reserach and Consulting"
"1149","McDonald's"
"1150","McDonalds"
"1151","McDonalds Corp"
"1152","McKesson"
"1153","McKesson Corporation"
"1154","McKinsey"
"1155","McKinsey & Company"
"1156","Medex Inc"
"1157","Media Corporation"
"1158","Medivation Inc"
"1159","Medley Global Advisors"
"1160","Medtronic"
"1161","Meetup"
"1162","Mega Ltd"
"1163","Mellon Corp"
"1164","Mellon Corporation"
"1165","Men's Warehouse"
"1166","Men's Wearhouse"
"1167","Mercedes-Benz"
"1168","Mercuria Energy Group"
"1169","Meredith Corp"
"1170","Meredith Corporation"
"1171","Merrill Lynch"
"1172","Metacapital Partners"
"1173","Metlife"
"1174","Metro International Trade Services"
"1175","MetroPCS Communications"
"1176","MF Global"
"1177","MGM"
"1178","MHP"
"1179","Michael Co"
"1180","Microsoft"
"1181","Microsoft Corp"
"1182","Millenial Media"
"1183","Millennial Media"
"1184","MillerCoors"
"1185","Mina Kimes"
"1186","Minack Advisors"
"1187","Ming Pao Staff Concern Group"
"1188","Minsheng Securities"
"1189","Minyanville Thirteen"
"1190","Mirisch Corp"
"1191","Mirisch Corporation"
"1192","Missiles Corporation"
"1193","Mitsubishi Motors"
"1194","Mixpo"
"1195","Mizuho Corp"
"1196","Mobile"
"1197","Mobile Inc"
"1198","Mobile World Co"
"1199","Moet Hennessy"
"1200","Moffett Group"
"1201","Mogul"
"1202","Mogul Corp"
"1203","Mogul Corporation"
"1204","Moncler"
"1205","Mondelez International"
"1206","Monetary Affairs Co"
"1207","Monetary Policy Co"
"1208","Monitoring Group"
"1209","Montaigne Inc"
"1210","Morgan Asset Management"
"1211","Morgan Chase"
"1212","Morgan Chase Bank"
"1213","Morgan Corp"
"1214","Morgan Private Bank"
"1215","Morgan Securities LLC"
"1216","Morgan Stanley"
"1217","Morningstar"
"1218","Morningstar Inc"
"1219","Morningstar Investment Co"
"1220","Mortgage Bankers Association"
"1221","Mortgage Corporation"
"1222","Mortgage Insurance Corporation"
"1223","Motor Corp"
"1224","Motorola "
"1225","Motorola Mobility Holdings Inc"
"1226","Motors Corporation"
"1227","Mozilla"
"1228","MSFT"
"1229","Muddy Waters"
"1230","Muddy Waters Research"
"1231","Multinational Corporation"
"1232","Mune Inc"
"1233","Murphy Oil Corp"
"1234","Murray Co"
"1235","Murray Kessler"
"1236","Music Group"
"1237","N Broadcasting Corporation"
"1238","NACA"
"1239","NAFE"
"1240","NaftoGaz"
"1241","Naked Capital"
"1242","Nanex"
"1243","NAPFA"
"1244","Napster"
"1245","NASA"
"1246","Nasdaq"
"1247","NASDAQ"
"1248","Nasty Gal"
"1249","National Association"
"1250","National Association for Female Executives"
"1251","National Australia Bank"
"1252","National Bank"
"1253","National Basketball Association"
"1254","National Co"
"1255","National Corporation"
"1256","National Distillers Products Corp"
"1257","National Economic Co"
"1258","National Endowment for Financial Education"
"1259","National Futures Association"
"1260","National Offshore Oil Corporation"
"1261","National Peoples Co"
"1262","National Rifle Association"
"1263","National Science Foundation"
"1264","National Security Co"
"1265","Navy Yard Development Corporation"
"1266","NBA"
"1267","NBC"
"1268","NBC Sports"
"1269","Need Benchmarks For Retirement Inc"
"1270","Neighborhood Assistance Corp"
"1271","Neiman Marcus Group"
"1272","Nest"
"1273","Nest Labs"
"1274","Netflix"
"1275","Netflix Inc"
"1276","Network Corp"
"1277","Neubauer Group"
"1278","Neusoft Corp"
"1279","Nevada Gaming Co"
"1280","New Haven Co"
"1281","New Jersey Co"
"1282","New York Bank"
"1283","New York Co"
"1284","New York Mellon"
"1285","New York Mellon Corporation"
"1286","New York Stock Exchange"
"1287","New York Times"
"1288","New York Times Magazine"
"1289","Newman Corp"
"1290","Newman Corporation"
"1291","Newport Beach"
"1292","News Corp"
"1293","News Ousted American Apparel"
"1294","Nexen Inc"
"1295","NGO Inc"
"1296","Nicholson Hartford Financial Services Group"
"1297","Nike"
"1298","Nikkei Inc"
"1299","Nikon"
"1300","Nimble Storage"
"1301","Nintendo Co Ltd"
"1302","Nippon Airways Co Ltd"
"1303","Nissan"
"1304","Nissan Motor Co"
"1305","Nokia"
"1306","Nokia Corporation"
"1307","Nominal Personal Inc"
"1308","Nomura"
"1309","Nonfinancial Corp"
"1310","Northrop Grumman"
"1311","Norwegian Air Shuttle Bjorn"
"1312","Norwegian Cruise Line"
"1313","Novartis"
"1314","NPD"
"1315","NQ"
"1316","NRA"
"1317","NRG Energy"
"1318","NTN Corp"
"1319","Nuance Investments"
"1320","Nutronics Labs"
"1321","Nuveen Asset Management"
"1322","Nvidia Corporation"
"1323","NYSE"
"1324","O Corporation"
"1325","Oakley"
"1326","Oaktree Capital Group"
"1327","Oaktree Capital Management"
"1328","Obayashi Corp"
"1329","Oceanographic"
"1330","Oculus VR"
"1331","Ocwen Financial Corp"
"1332","Odaingerous"
"1333","Office Depot"
"1334","Office Depot Inc"
"1335","Offshore Oil Corporation"
"1336","Oil Corporation"
"1337","Oil Giant Total"
"1338","Olorama"
"1339","Olsson Inc"
"1340","Olympus Corp"
"1341","Omega Advisors"
"1342","OMGPop"
"1343","Omnicare Inc"
"1344","Omnicom"
"1345","One Beacon Co"
"1346","One Financial Corporation"
"1347","OneWire"
"1348","Or Digital Equipment Corporation"
"1349","Oracle"
"1350","Orcam Financial Group"
"1351","Oriental Brewery Co Ltd"
"1352","Orix Corp"
"1353","Outlook"
"1354","Overseas Shipholding Group"
"1355","Overstock"
"1356","Overstock.com"
"1357","Owl Asset Management"
"1358","Pacific Economic Co"
"1359","Pacific Ethanol Inc"
"1360","Pacific Investment Management Co"
"1361","Pacific Investment Management Company"
"1362","Pacific Investment Management Corp"
"1363","Pacific Maritime Association"
"1364","Pacifica Capital"
"1365","Packaging Corporation"
"1366","Paige Group"
"1367","Paige Hospitality Group"
"1368","Palantir"
"1369","Palm Beach Co"
"1370","Panasonic"
"1371","Pando"
"1372","Pandora"
"1373","Pandora Media"
"1374","Pantech Co"
"1375","Pantheon Macroeconomics"
"1376","Park Corporation"
"1377","Passenger Corporation"
"1378","Pat Co"
"1379","Patriarch Partners"
"1380","Patrick Co"
"1381","Paul Co"
"1382","Paul Singer"
"1383","Paulson"
"1384","PayPal"
"1385","PdVSA"
"1386","Peixin International Group"
"1387","Pemex"
"1388","Penney Co Inc"
"1389","Penney Company Inc"
"1390","Pennsylvania"
"1391","Peoples Bank"
"1392","Pepperstone"
"1393","Pepsi"
"1394","PepsiCo"
"1395","PepsiCo Inc"
"1396","Permanente"
"1397","Perry Capital"
"1398","Pershing Advisor Solutions"
"1399","Pershing Square"
"1400","Pershing Square Capital"
"1401","Pershing Square Capital Management"
"1402","Pershing Square Holdings"
"1403","Personal Co"
"1404","Personal Financial Advisors"
"1405","Personal Inc"
"1406","Peter Co"
"1407","Pethealth Inc"
"1408","Petrobras"
"1409","Petrochemical Corporation"
"1410","Petroleum Corporation"
"1411","Petroleum Exporting Co"
"1412","PetSmart"
"1413","Peugeot"
"1414","Pfizer"
"1415","Pharmaceuticals Corporation"
"1416","Philippine Amusement and Gaming Corporation"
"1417","Philips"
"1418","Phison Electronics Corp"
"1419","Pictures Corporation"
"1420","Pilgrim"
"1421","Pilgrim's"
"1422","Pimco"
"1423","PIMCO"
"1424","Pine River Capital"
"1425","Pivotal"
"1426","Pixar"
"1427","Pizza Inc"
"1428","Plated"
"1429","Playboy Enterprises"
"1430","Plexus Asset Management"
"1431","Point Inc"
"1432","Politburo Standing Co"
"1433","Portuguese"
"1434","Portuguese Bank Espirito Santo"
"1435","Potash Corporation"
"1436","Potomac Research Group"
"1437","Power Corporation"
"1438","Pragmatic Capital"
"1439","Preservation Corporation"
"1440","Priceline"
"1441","Pride"
"1442","Pride Corp"
"1443","Pride Corporation"
"1444","Private Wealth Management"
"1445","Pro"
"1446","Pro Inc"
"1447","Procter"
"1448","Procter & Gamble"
"1449","Products Corporation"
"1450","Professional Coin Grading Service"
"1451","Promontory"
"1452","Promontory Financial"
"1453","Promontory Financial Group"
"1454","Property Corporation"
"1455","ProShares"
"1456","Protalix"
"1457","Protection Corporation"
"1458","Psilos Group"
"1459","PSP Capital Partners"
"1460","Public Service Employees Credit Union"
"1461","Publicis Group"
"1462","PulteGroup"
"1463","Punjab State Civil Supplies Corp"
"1464","Punjab State Civil Supplies Corporation"
"1465","Qantas"
"1466","Qualcomm"
"1467","Qualcomm Inc"
"1468","Quest"
"1469","Quicken Loans"
"1470","Quicksilver"
"1471","Quirky Inc"
"1472","Quiznos"
"1473","Qwest"
"1474","R Corporation"
"1475","Raffles Medical Group"
"1476","Rail Construction Corporation"
"1477","Railroad Passenger Corporation"
"1478","Railway Construction Corporation"
"1479","Railway Corporation"
"1480","Ralph Lauren Corporation"
"1481","RAND Corp"
"1482","Rand Corporation"
"1483","Rand Group"
"1484","Raymond James Financial"
"1485","Raytheon"
"1486","RBS"
"1487","Real Estate Group"
"1488","Real Personal Inc"
"1489","Real Vision Television"
"1490","Realty Corporation"
"1491","Realty Inc"
"1492","Rebel Desk"
"1493","Recession"
"1494","RecessionAlert.com"
"1495","Recon Analytics"
"1496","Red Bull"
"1497","Red Peak Branding"
"1498","Red Robin Gourmet Burgers"
"1499","Regions Financial Corporation"
"1500","Renaissance Capital"
"1501","Rental Corporation"
"1502","Repsol"
"1503","Republican National Co"
"1504","Republican Study Co"
"1505","Research Affiliates"
"1506","Reserve Bank"
"1507","Resolution Corporation"
"1508","Resources"
"1509","Resources Corporation"
"1510","Resources Group"
"1511","Retail Group"
"1512","Retirement Inc"
"1513","Reuters"
"1514","Reuters Corp"
"1515","Reuters Facebook"
"1516","Reynolds Group"
"1517","Rhodium Group"
"1518","Richard Benstein Advisors"
"1519","Richard Bernstein Advisors"
"1520","Rite Aid"
"1521","Ritholtz Wealth"
"1522","Ritholtz Wealth Management"
"1523","Ritz Carlton"
"1524","RMI"
"1525","Roadhouse Inc"
"1526","Roche"
"1527","Rock"
"1528","Rock Group"
"1529","Rock Inc"
"1530","Rogers Communication"
"1531","Rolex"
"1532","Rolling Stock Corp"
"1533","Rongzhong Group"
"1534","Rosneft"
"1535","Rothschild Inc"
"1536","Rowe Price"
"1537","Royal Bank of Scotland"
"1538","Royal Dutch Shell"
"1539","Rubicon"
"1540","Runner Inc"
"1541","Rural Commercial Bank"
"1542","Russian Central Bank"
"1543","Russias Central Bank"
"1544","Ryanair"
"1545","Ryland Group"
"1546","S Caremark Corporation"
"1547","S Corporation"
"1548","SAC"
"1549","SAC Capital"
"1550","Safra Group"
"1551","Safran"
"1552","Sage Advisory Group"
"1553","SAIC Motor Corp"
"1554","Sainsbury"
"1555","Salesforce"
"1556","Sam Co"
"1557","Samsung"
"1558","Samsung Electronics"
"1559","Samsung Electronics Co"
"1560","Samsung Electronics Co Ltd"
"1561","Samsung Group"
"1562","Samsung Mobile"
"1563","Sands Corporation"
"1564","Sanofi"
"1565","Saudi Basic Industries"
"1566","Saudi Basic Industries Corp"
"1567","Schwab Corporation"
"1568","Scotland Group"
"1569","Scott Olson Twitter"
"1570","Scottish Re Group"
"1571","Scottrade Inc."
"1572","Scribd"
"1573","Seabreeze Partners Management"
"1574","Seabulk"
"1575","Seamless"
"1576","SearchMedia Holdings"
"1577","Sears"
"1578","Sears Canada"
"1579","Sears Holdings"
"1580","Sears Holdings Corp"
"1581","SEC"
"1582","SecondMarket"
"1583","Securities Corporation"
"1584","Selling Strategy To Lower Inc"
"1585","Sen John Co"
"1586","Sen Tom Co"
"1587","Senate Bank"
"1588","Senate Banking Co"
"1589","Senate Budget Co"
"1590","Senate Finance Co"
"1591","Senate Intelligence Co"
"1592","Senate Judiciary Co"
"1593","Senator Bob Co"
"1594","Sephora"
"1595","Sequence Inc"
"1596","Serv Corp"
"1597","Shack Corp"
"1598","Shack Corporation"
"1599","Shadow Government Statistics"
"1600","Shake Shack"
"1601","Shanghai Chaori Solar Energy Science and Technology Company"
"1602","Shanghai Film Co Ltd"
"1603","Shanghai International Port Group"
"1604","Sharp Corp"
"1605","Shaughnessy Asset Management"
"1606","Shell"
"1607","Shimizu Corp"
"1608","Ships Inc"
"1609","Shire"
"1610","Shuanghui Group"
"1611","Shutterstock"
"1612","Siemans"
"1613","Siemens"
"1614","Siemens America"
"1615","Siena Co"
"1616","Sigma Capital"
"1617","SigmaX"
"1618","Silvercrest Asset Management"
"1619","Simon Property Group Inc"
"1620","Singapore"
"1621","Sirius Satellite Radio"
"1622","Skullcandy"
"1623","Sky"
"1624","SkyBridge Capital"
"1625","Skype"
"1626","Smart Inc"
"1627","Smartcredit.com"
"1628","Smead Capital Management"
"1629","Snapchat"
"1630","Snapchat Inc"
"1631","Snapfish"
"1632","Snapple Group"
"1633","SocGen"
"1634","Societe Generale"
"1635","Softbank"
"1636","SoftBank"
"1637","SoftBank Corp"
"1638","Sohn Investment Co"
"1639","SolarCity"
"1640","Solaris Group"
"1641","Sonoma Inc"
"1642","Sony"
"1643","Sony Corporation"
"1644","Sony Group"
"1645","Sony Pictures Entertainment"
"1646","Soros Fund Management"
"1647","Sotheby"
"1648","Source Deutsche Bank"
"1649","South Sea Co"
"1650","Southeastern Asset Management"
"1651","Southern Corporation"
"1652","Southwest"
"1653","Space"
"1654","Spacex"
"1655","SpaceX"
"1656","Special Situations Group"
"1657","Springleaf Finance"
"1658","Sprint"
"1659","Square Inc"
"1660","Ss Sam Co"
"1661","St Louis Co"
"1662","Standard Bank"
"1663","Standard Bank Group"
"1664","Standard Chartered Bank"
"1665","Standard General"
"1666","Standard Solar"
"1667","Starboard Investments"
"1668","Starbucks"
"1669","Starbucks Coffee Company"
"1670","Starbucks Corporation"
"1671","Starr International"
"1672","Starr International Co"
"1673","State Automobile Dealers Association Inc"
"1674","State Civil Supplies Corporation"
"1675","State Street Corporation"
"1676","Statoil"
"1677","Steel Corp"
"1678","Steel Corporation"
"1679","Stephen Co"
"1680","Stephen Lam Apple"
"1681","Sterling"
"1682","Sterling Software Inc"
"1683","Steve Blumenthal"
"1684","Stifel"
"1685","Stilwell Value Partners"
"1686","Stocktwits"
"1687","Stop Corp"
"1688","Stores Inc"
"1689","Strait Wealth Management Group"
"1690","Stratasys"
"1691","Stratasys Inc"
"1692","Strategic Investment Co"
"1693","Stream Yahoo"
"1694","Street"
"1695","Street Corporation"
"1696","StreetID"
"1697","Streettalk Advisors"
"1698","Sumitomo Corporation"
"1699","Sumitomo Mitsui Financial Group"
"1700","SumZero"
"1701","Sun Art Retail Group"
"1702","Suning Commerce Group"
"1703","SunRun"
"1704","Superb Summit International Group"
"1705","Supercell"
"1706","Superconductor Corporation"
"1707","Supplies Corporation"
"1708","Supreme Co"
"1709","SurveyMonkey"
"1710","Suzuki Motor"
"1711","Swanson"
"1712","Swatch"
"1713","Swiss National Bank"
"1714","Swisscom"
"1715","Swisscom AG"
"1716","Sybase Inc."
"1717","Symantec"
"1718","Symantec Corp"
"1719","Systems Corp"
"1720","T Corporation"
"1721","T-Mobile"
"1722","Tactical Missiles Corporation"
"1723","Taikang"
"1724","Taisei Corp"
"1725","Takeda Pharmaceutical"
"1726","Takenaka Corp"
"1727","Tard Inc"
"1728","Target"
"1729","Target Corp"
"1730","Target Corporation"
"1731","TaskRabbit"
"1732","Tasly Pharmaceutical Group"
"1733","TBTF"
"1734","TD Ameritrade"
"1735","TD Ameritrade Holding Corp"
"1736","Teal Group"
"1737","Technologies Corporation"
"1738","Tekmira"
"1739","Tekmira Pharmaceuticals"
"1740","Tekmira Pharmaceuticals Corporation"
"1741","Tekmira Tekmira Pharmaceuticals Corporation"
"1742","Telecom Italia"
"1743","Television Group"
"1744","Templeton Emergin Markets Group"
"1745","Templeton Emerging Markets Group"
"1746","Templeton Investments"
"1747","Tencent Holdings Ltd"
"1748","Term Capital Management"
"1749","Tesco"
"1750","Tesla"
"1751","Tesla Motors"
"1752","Tesla Motors Inc"
"1753","Tesla Motors Inc. "
"1754","Texas Instruments"
"1755","The Advisor Center"
"1756","The Alexander Group"
"1757","The Alpert Group"
"1758","The American Co"
"1759","The Asian Corp"
"1760","The Australian Broadcasting Corp"
"1761","The Bank"
"1762","The Blackstone Group"
"1763","The Boeing Co"
"1764","The Boeing Company"
"1765","The Budget Co"
"1766","The Business Roundtable"
"1767","The Carlyle Group"
"1768","The Central Bank"
"1769","The Charles Schwab Corporation"
"1770","The Chartered Financial"
"1771","The Co"
"1772","The Colony Group"
"1773","The Consumer Financial"
"1774","The Deutsche Bank"
"1775","The Economic Co"
"1776","The Ensemble Practice"
"1777","The European Bank"
"1778","The European Central Bank"
"1779","The European Co"
"1780","The Federal Open Market Co"
"1781","The Financial Co"
"1782","The Gartman Letter"
"1783","The Governing Co"
"1784","The Group"
"1785","The Home Depot"
"1786","The Howard Hughes Corp"
"1787","the Human Rights Foundation"
"1788","The Hunt"
"1789","The Iron Bank"
"1790","The Lab"
"1791","The leisure shoe"
"1792","The National Association"
"1793","The Peoples Bank"
"1794","The Priceline Group"
"1795","The Priceline Group Inc."
"1796","The Reserve Bank"
"1797","The Royal Bank"
"1798","The Shanghai Co"
"1799","The Special Co"
"1800","The Spectrem Group"
"1801","The State Co"
"1802","The Supreme Co"
"1803","The Tokmakjian Group"
"1804","The Vanguard Group"
"1805","The Walt Disney Company"
"1806","The Washington Post"
"1807","The World Bank"
"1808","Theranos"
"1809","Think Group"
"1810","Third Point"
"1811","Third Point LLC"
"1812","Third Point Partners"
"1813","Thomas Co"
"1814","Thomas Pikettys Capital"
"1815","Thomson Reuters"
"1816","Three Gorges Corp"
"1817","TIAA-CREF"
"1818","Tianbao"
"1819","Tiger Management"
"1820","Tim Elmes Group"
"1821","Tim Hortons Inc"
"1822","Time Inc"
"1823","Time Warner"
"1824","Time Warner Cable"
"1825","Time Warner Inc"
"1826","Time Warner Inc."
"1827","Titan"
"1828","TJ Maxx"
"1829","TMobile"
"1830","Todd Co"
"1831","Tokmakjian Group"
"1832","Tokyo District Co"
"1833","Toll Brothers"
"1834","Tommy Hilfiger"
"1835","Too Much Power Over Corp"
"1836","Toshiba Corp"
"1837","Toshiba Corporation"
"1838","Total"
"1839","Total Inc"
"1840","Town Residential"
"1841","Toyota"
"1842","Toyota Motor Co"
"1843","Toyota Motor Corp"
"1844","Trade Group"
"1845","Transcanada Corp"
"1846","Transportation Corporation"
"1847","Transunion"
"1848","Travelers Group"
"1849","Treasury Departments Financial"
"1850","Treasury Select Co"
"1851","Tremor Video"
"1852","Trevi Group"
"1853","Tri-Ocean"
"1854","Trian Fund Management"
"1855","Trillion Dollar Co"
"1856","Triumph Group"
"1857","Truepoint Inc"
"1858","Trulia"
"1859","Trump Entertainment"
"1860","Trust Bank"
"1861","Trust Corporation"
"1862","TrustedSEC"
"1863","Tsai Capital"
"1864","Tucows Inc"
"1865","Tudor Investment Corporation"
"1866","Tumblr"
"1867","Turnberry Associates"
"1868","twenty-something"
"1869","Twitch"
"1870","Twitter"
"1871","Two"
"1872","Ty Inc"
"1873","Tyco"
"1874","Tyco International"
"1875","Tyson Foods"
"1876","Tyson Foods Inc"
"1877","U Corporation"
"1878","U.S. Silica Holdings"
"1879","U.S. Travel Association"
"1880","Uber"
"1881","UBS"
"1882","Ulker Biskuvi Sanayi"
"1883","Ultrasonic"
"1884","Unicharm Corp"
"1885","Unilever"
"1886","Union Square Ventures"
"1887","United Airlines Corporation"
"1888","United Parcel Service Inc."
"1889","United States Co"
"1890","United Technologies"
"1891","United Technologies Corp"
"1892","United Therapeutics"
"1893","Universa Investments"
"1894","Universal Corp"
"1895","Upgrade Capital"
"1896","UPS"
"1897","Upside"
"1898","Urban Affairs Co"
"1899","Urban Outfitters"
"1900","US Airways"
"1901","US Army Air Corp"
"1902","US Bancorp"
"1903","US Marine Corp"
"1904","USA Today"
"1905","USADA"
"1906","Valeant"
"1907","Valeant Pharmaceuticals Inc"
"1908","Value Investing Co"
"1909","ValueAct Capital"
"1910","Valueant"
"1911","Van Tuyl Group"
"1912","Vancouver British Co"
"1913","Vanguard"
"1914","Vanke"
"1915","Vanke Group"
"1916","Vegas Sands Corporation"
"1917","Venoco"
"1918","Ventures Energy Corporation"
"1919","Vere Group"
"1920","Vereinigung Co"
"1921","Verint Systems Inc."
"1922","Verizon"
"1923","Verizon Co"
"1924","Verizon Communications"
"1925","Verizon Communications Inc"
"1926","Vermin Inc"
"1927","Via Wikimedia Co"
"1928","Viacom"
"1929","Vianet Group"
"1930","Vie Inc"
"1931","Vimeo"
"1932","Violin Memory"
"1933","Virgin"
"1934","Virgin America"
"1935","Virgin America Founding"
"1936","Virtu Financial"
"1937","Visa"
"1938","Vision Inc"
"1939","Visteon"
"1940","Vistory Social Capital"
"1941","Vitaco Health Group"
"1942","Vitor Co"
"1943","VMware"
"1944","Vodafone Vittorio Colao"
"1945","Volkswagen Group"
"1946","Volvo"
"1947","VTB"
"1948","W Corporation"
"1949","Wal-mart"
"1950","Wal-Mart"
"1951","Walk Score"
"1952","Wall Street Bank"
"1953","Walmart"
"1954","Walmart Corp"
"1955","Walt Disney Co"
"1956","Wanda Commercial Properties Group"
"1957","Wanda Hotel Development Co Ltd"
"1958","Washington Examiner"
"1959","Washington Post Co"
"1960","Wasu Media Holding Co Ltd"
"1961","Wayfair Inc"
"1962","Waze"
"1963","Wealth Logic"
"1964","Wealth Management"
"1965","Weaved"
"1966","Weekly Market Co"
"1967","Wells Fargo"
"1968","Wells Fargo Advisors"
"1969","Wells Fargo Bank"
"1970","Wells Fargo Inc"
"1971","Wendy's"
"1972","Western Corp"
"1973","Western European Corporation"
"1974","Westor Capital Group"
"1975","Westport Mortgage"
"1976","Wet Seal"
"1977","Wet Seal Inc"
"1978","What Advisors"
"1979","WhatsApp"
"1980","When Co"
"1981","When Cultures Co"
"1982","When Markets Co"
"1983","Whisper"
"1984","White House Co"
"1985","White Lodging"
"1986","Whole Foods"
"1987","Whole Foods Market"
"1988","Why Advisors"
"1989","Wisconsin"
"1990","Wistron Corp"
"1991","Wix"
"1992","Wonga"
"1993","Woodbridge"
"1994","Word"
"1995","Workday Inc"
"1996","Working Group"
"1997","World Bank"
"1998","World Cup Group"
"1999","World Gold Co"
"2000","World Wrestling Entertainment"
"2001","WSJ"
"2002","Wyeth"
"2003","Wynn Resorts"
"2004","Wyse"
"2005","X Corporation"
"2006","Xerox Corporation"
"2007","Xerox Inc"
"2008","Xiaomi"
"2009","Xugong Group"
"2010","Yahoo"
"2011","YAHOO"
"2012","Yard Development Corporation"
"2013","Yelp"
"2014","Yet Because Corporation"
"2015","York Capital Management"
"2016","York Mellon Corporation"
"2017","Youtube"
"2018","YouTube"
"2019","Yuasa Corp"
"2020","Yuebao"
"2021","Yukos"
"2022","Yum Brands"
"2023","Yum Brands Inc"
"2024","Yves Saint Laurent"
"2025","Zagat"
"2026","Zappos"
"2027","Zara"
"2028","Zeneca"
"2029","Zhejiang Geely Holding Group"
"2030","Zillow"
"2031","Zion"
"2032","Zipcar"
"2033","Zone Development Corporation"
"2034","Zone Inc"
"2035","ZTE Corp"
"2036","Zynga"
